,provinsi,kode_kab,nama_kabupaten_kota,jml_pddk_kab,pdrb_kab,pdrb_rrt_prov,jml_pddk_prov
0,JAWA BARAT,3201,KABUPATEN BOGOR,1381707,25373346000000000,2.7759385185185184e+16,13575787
1,JAWA BARAT,3202,KABUPATEN SUKABUMI,779579,17935085000000000,2.7759385185185184e+16,13575787
2,JAWA BARAT,3203,KABUPATEN CIANJUR,679366,13411220000000000,2.7759385185185184e+16,13575787
3,JAWA BARAT,3204,KABUPATEN BANDUNG,1181757,20877715000000000,2.7759385185185184e+16,13575787
4,JAWA BARAT,3205,KABUPATEN GARUT,697073,14281948000000000,2.7759385185185184e+16,13575787
5,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,510824,13315811000000000,2.7759385185185184e+16,13575787
6,JAWA BARAT,3207,KABUPATEN CIAMIS,353078,17587559000000000,2.7759385185185184e+16,13575787
7,JAWA BARAT,3208,KABUPATEN KUNINGAN,322996,14724988000000000,2.7759385185185184e+16,13575787
8,JAWA BARAT,3209,KABUPATEN CIREBON,608433,14778054000000000,2.7759385185185184e+16,13575787
9,JAWA BARAT,3210,KABUPATEN MAJALENGKA,456438,16622647000000000,2.7759385185185184e+16,13575787
10,JAWA BARAT,3211,KABUPATEN SUMEDANG,233850,19581739000000000,2.7759385185185184e+16,13575787
11,JAWA BARAT,3212,KABUPATEN INDRAMAYU,563308,33904384000000000,2.7759385185185184e+16,13575787
12,JAWA BARAT,3213,KABUPATEN SUBANG,457626,17353374000000000,2.7759385185185184e+16,13575787
13,JAWA BARAT,3214,KABUPATEN PURWAKARTA,280704,46511036000000000,2.7759385185185184e+16,13575787
14,JAWA BARAT,3215,KABUPATEN KARAWANG,671775,67363090000000000,2.7759385185185184e+16,13575787
15,JAWA BARAT,3216,KABUPATEN BEKASI,781045,66636076000000000,2.7759385185185184e+16,13575787
16,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,512576,17751792000000000,2.7759385185185184e+16,13575787
17,JAWA BARAT,3218,KABUPATEN PANGANDARAN,117517,18417681000000000,2.7759385185185184e+16,13575787
18,JAWA BARAT,3271,KOTA BOGOR,304275,27728664000000000,2.7759385185185184e+16,13575787
19,JAWA BARAT,3272,KOTA SUKABUMI,106781,25158551000000000,2.7759385185185184e+16,13575787
20,JAWA BARAT,3273,KOTA BANDUNG,716637,73924026000000000,2.7759385185185184e+16,13575787
21,JAWA BARAT,3274,KOTA CIREBON,105476,50012015000000000,2.7759385185185184e+16,13575787
22,JAWA BARAT,3275,KOTA BEKASI,732682,22458188000000000,2.7759385185185184e+16,13575787
23,JAWA BARAT,3276,KOTA DEPOK,566067,19730607000000000,2.7759385185185184e+16,13575787
24,JAWA BARAT,3277,KOTA CIMAHI,170755,34867095000000000,2.7759385185185184e+16,13575787
25,JAWA BARAT,3278,KOTA TASIKMALAYA,222097,22421476000000000,2.7759385185185184e+16,13575787
26,JAWA BARAT,3279,KOTA BANJAR,61365,16775233000000000,2.7759385185185184e+16,13575787
