prov;tahun;apbd;kemiskinan;gini;share_pdrb;pdrb;pma_proyek;pma_inves;IPM;kesehatan;pendidikan;persos;belanja_total
Aceh;2015;8592,3;17,08;0,334;0,011137354;112666;78.0;0,876388889;69,45;2,41896E+12;5,09338E+12;2,56502E+11;7,76884E+12
Aceh;2016;15385,4;16,73;0,333;0,010898861;116374;111.0;5,586805556;70;3,02944E+12;5,23404E+12;2,60762E+11;8,52424E+12
Aceh;2017;17092;16,89;0,329;0,010670504;121241;89.0;0,959722222;70,6;3,32891E+12;4,52395E+12;3,58466E+11;8,21133E+12
Bali;2015;8303,6;12,34;0,377;0,015219845;129127;832.0;20,63055556;73,27;1,76547E+12;4,74012E+12;1,8537E+11;6,69096E+12
Bali;2016;9021,3;4,25;0,366;0,015458172;137296;1371.0;18,75416667;73,65;2,21824E+12;5,62314E+12;2,32117E+11;8,0735E+12
Bali;2017;9744,2;11,77;0,384;0,015590481;144933;1429.0;36,92291667;74,3;2,92286E+12;4,57772E+12;2,87964E+11;7,78854E+12
Banten;2015;7701,1;13,58;0,401;0,041351216;368377;1737.0;105,9166667;70,27;6,53125E+11;1,47716E+12;76227440313;2,20652E+12
Banten;2016;12471,7;5,42;0,394;0,041247766;387835;2161.0;121,3340278;70,96;6,52093E+11;1,14983E+12;57946195891;1,85987E+12
Banten;2017;12094,9;13,01;0,382;0,041245447;410137;2479.0;126,9618056;71,42;8,08741E+11;1,25464E+12;83589167998;2,14697E+12
Bengkulu;2015;3381,3;14,25;0,376;0,004342523;38066;32.0;0,8375;68,59;1,74501E+12;4,87355E+12;2,10882E+11;6,82944E+12
Bengkulu;2016;4514,9;17,32;0,357;0,004411046;40077;59.0;2,296527778;69,33;3,26834E+12;7,68811E+12;2,4656E+11;1,1203E+13
Bengkulu;2017;4630,2;13,19;0,351;0,004439076;42074;50.0;5,754861111;69,95;3,12016E+12;5,61726E+12;2,5306E+11;8,99048E+12
DI Yogyakarta;2015;3676,3;3,93;0,431;0,00875169;83474;130.0;3,709027778;77,59;6,40263E+11;2,07718E+12;1,19895E+11;2,83733E+12
DI Yogyakarta;2016;6077,2;13,34;0,42;0,008757899;87686;252.0;0,795833333;78,38;8,01014E+11;2,034E+12;1,22698E+11;2,95771E+12
DI Yogyakarta;2017;5219,8;3,77;0,432;0,008718129;92300;179.0;1,503472222;78,89;1,03112E+12;1,73366E+12;1,32658E+11;2,89744E+12
Gorontalo;2015;2314,3;12,4;0,424;0,002458244;22069;44.0;0,25625;65,86;7,41088E+11;2,2662E+12;36336999635;3,04363E+12
Gorontalo;2016;2944,7;17,72;0,419;0,002524537;23507;76.0;0,504861111;66,29;9,07967E+11;2,23819E+12;41789805444;3,18794E+12
Gorontalo;2017;3289,3;11,3;0,43;0,002527551;25090;37.0;1,710416667;67,01;9,04262E+11;1,80761E+12;57707033464;2,76958E+12
Jambi;2015;6046,6;6,24;0,364;0,013378151;125037;104.0;4,463194444;68,89;5,75915E+11;1,38679E+12;61532413694;2,02424E+12
Jambi;2016;6509,4;8,41;0,349;0,0136351;130501;161.0;2,541666667;69,62;8,45793E+11;1,43429E+12;70988412685;2,35108E+12
Jambi;2017;6691,3;6,06;0,335;0,013889126;136502;103.0;3,172222222;69,99;1,05266E+12;1,3114E+12;1,24297E+11;2,48836E+12
Jawa Barat;2015;35915,6;5,9;0,415;0,131565838;1207232;4497.0;239,0881944;69,5;1,13845E+12;4,00459E+12;2,3068E+11;5,37372E+12
Jawa Barat;2016;43340;8,95;0,413;0,131671385;1275619;5369.0;227,9229167;70,05;1,41712E+12;4,10108E+12;2,3853E+11;5,75673E+12
Jawa Barat;2017;38397,8;5,45;0,403;0,130858767;1343662;5309.0;214,25625;70,69;1,50393E+12;3,10798E+12;1,78257E+11;4,79017E+12
Jawa Tengah;2015;32859,2;14,91;0,382;0,087221967;806765;608.0;35,41944444;69,49;8,61233E+12;2,462E+13;6,46381E+11;3,38787E+13
Jawa Tengah;2016;39330;13,27;0,366;0,086598818;849099;1054.0;42,92222222;69,98;1,01821E+13;2,38449E+13;7,59435E+11;3,47864E+13
Jawa Tengah;2017;35114,4;13,02;0,365;0,085827949;893750;955.0;98,83680556;70,52;1,22754E+13;2,07993E+13;8,94028E+11;3,39687E+13
Jawa Timur;2015;40350,8;9,53;0,415;0,145930669;1331376;742.0;108,0444444;68,95;6,7825E+12;2,22061E+13;4,53737E+11;2,94423E+13
Jawa Timur;2016;46684,3;12,05;0,402;0,147799402;1405564;1473.0;80,875;69,74;8,80949E+12;2,21739E+13;4,94844E+11;3,14783E+13
